"fecha_oficia"|"aduana"|"aduana_desc"|"mercaderia"|"mercaderia_desc"|"cantidad"|"kilos"|"importe"
20140725|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|68|3335393.23|5311704.88
20140906|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|25|580659|1175261.91
20140827|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|67|1952007.29|4608987.62
20140205|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|38|1190041.64|3789627.98
20140220|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|64|1034883.73|2937487.42
20140503|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|4|64502|158316.2
20140626|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|74|2222150.66|4424617.67
20140506|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|67|1731592.37|3087314.1
20140115|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|40|894714.49|2428481.28
20140319|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|55|1655748.06|4537944.99
20140326|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|61|2377344.12|3823336.67
20140403|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|83|2004448.92|4432638
20140404|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|60|2114540.18|4638428.48
20140401|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|90|3211196.45|7001325.23
20140305|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|81|1849019.1|5609808.27
20140512|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|60|2383114.71|3740891.51
20140120|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|37|1113661.12|2162866.9
20140809|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|6|84580.5|243156.8
20141108|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|4|62900.8|244752
20141020|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|47|1119961.12|2690008.61
20140919|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|43|1047518.5|2260538.04
20141022|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|43|993580.86|2030335.93
20140129|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|16|580830|1341764.68
20141001|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|40|1022491.12|1914581.22
20141023|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|44|1154624.9|2694741.81
20140916|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|45|1083693.73|2916113.32
20140902|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|90|2617143.62|5512445.67
20140402|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|5|132470.44|706916.6
20140524|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|6|57177|215587.81
20140301|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|8|125124|340002.68
20141106|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|59|1214749.53|3130878.27
20140717|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|67|1571870.71|4648488.76
20140805|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|57|1259281.78|2666172.7
20140815|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|75|2047833.5|4464587.99
20141015|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|62|1476804.15|4644712.96
20140124|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|40|1118380.96|4629797.54
20141128|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|40|1255437.33|3707344.12
20140825|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|47|1023410.5|2752054.28
20140110|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|30|702057.19|1581325.64
20140802|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|7|139400|244720.2
20141029|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|56|1618571.99|3939738.05
20140114|37|"MAR DEL PLATA"|3|"PESCADOS Y CRUSTACEOS, MOLUSCOS Y DEMAS INVERTEBRADOS ACUATI"|45|1138537.8|2270078.98
